Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "electrosteel2020_10_arrange5.brd" as of: 12/23/20 12:05 PM
Measurements are in inches. Comma delimited
only through-hole

RefDes,Layer,LocationX,LocationY,Rotation
+12VA,Top,4.310,4.050,0
+15VA,Top,4.670,4.390,0
-12VA,Top,4.530,3.990,0
-15VA,Top,4.670,4.290,0
3V3A,Top,0.570,3.710,0
3V3A_0A,Top,7.940,2.080,0
3V3A_0B,Top,9.380,4.510,0
3V3A_0C,Top,4.750,2.070,0
3V3A_1,Top,2.638,5.577,0
3V3A_2,Top,8.560,0.520,0
3V3D,Top,0.930,4.110,0
3V3D1,Top,2.938,5.287,0
3V3D2,Top,7.550,0.500,180
5V,Top,0.560,4.350,0
5V/1,Top,5.730,4.040,0
5VD1,Top,2.568,5.367,0
5VD2,Top,7.080,0.880,0
AGND,Top,0.670,3.710,0
AGND_1,Top,2.638,5.677,0
AGND_2,Top,8.460,0.520,0
C171,Top,2.410,6.180,90
DGND,Top,0.930,4.010,180
DGND1,Top,0.560,4.450,0
DGND2,Top,2.838,5.287,0
DGND3,Top,7.080,0.780,0
DGND4,Top,4.230,6.810,0
DGND5,Top,5.730,3.940,180
HOUT1,Top,8.528,8.730,0
HOUT3,Top,9.258,8.740,0
HOUT5,Top,8.518,7.770,0
HOUT7,Top,9.278,7.770,0
HOUT9,Top,0.772,8.710,180
HOUT11,Top,10.222,7.720,180
HOUT13,Top,9.170,7.068,90
HOUT15,Top,9.968,8.740,0
HOUT17,Top,10.318,0.570,0
HOUT19,Top,10.330,1.818,90
IC5,Top,4.480,4.390,0
IC6,Top,4.510,4.210,0
J1,Bottom,0.750,7.160,270
J2,Top,2.450,4.100,270
J3,Top,6.030,5.470,270
J4,Top,6.300,5.470,270
J5,Top,6.570,5.470,270
J6,Top,6.840,5.470,270
J7,Top,7.110,5.470,270
J8,Top,2.340,4.420,180
J9,Bottom,9.388,8.990,270
J10,Top,2.480,3.580,90
J11,Top,7.900,1.220,180
J12,Top,8.370,1.220,180
J13,Top,3.640,4.920,180
J14,Top,4.190,4.920,180
J15,Top,4.720,4.960,180
J16,Top,6.640,0.850,270
J17,Top,1.050,4.410,180
J18,Top,1.720,4.850,180
J19,Top,1.240,4.850,180
J20,Top,0.490,0.920,90
J21,Top,0.400,0.570,0
J22,Top,0.220,0.920,90
J23,Top,0.830,0.570,0
J24,Top,1.210,0.610,270
J25,Bottom,8.658,8.980,270
J26,Top,1.480,0.610,270
J27,Bottom,8.648,8.020,270
J28,Bottom,1.720,6.610,90
J29,Bottom,9.408,8.020,270
J31,Bottom,0.642,8.460,90
J32,Top,10.390,3.520,270
J33,Bottom,10.092,7.470,90
J34,Top,0.650,6.000,0
J35,Bottom,8.920,7.198,180
J36,Top,4.050,4.470,0
J37,Bottom,10.098,8.990,270
J38,Top,9.800,2.570,180
J39,Bottom,10.448,0.820,270
J41,Bottom,10.080,1.948,180
J42,Bottom,9.800,0.900,270
JP1,Top,3.940,1.800,0
JP2,Top,8.530,2.120,180
JP3,Top,3.300,2.770,90
JP4,Top,6.490,2.780,90
JP5,Top,7.930,5.210,90
JP6,Top,5.900,2.770,90
JP7,Top,9.090,2.780,90
JP8,Top,10.530,5.210,90
JP9,Top,4.949,1.918,0
JP10,Top,8.138,1.929,0
JP11,Top,9.577,4.359,0
JP12,Top,3.080,0.860,90
JP13,Top,3.530,0.860,90
JP14,Top,3.650,4.430,0
JP15,Top,10.020,4.580,180
JP17,Top,5.380,0.860,90
JP18,Top,3.980,0.860,90
JP19,Bottom,2.470,6.690,0
JP20,Top,1.100,6.010,90
JP21,Top,2.208,8.890,0
OPT1_A,Top,0.440,2.130,0
OPT1_B,Top,0.630,2.750,0
OPT2_A,Top,0.440,2.230,0
OPT2_B,Top,0.230,2.710,0
OPT3_A,Top,0.610,2.420,0
OPT3_B,Top,1.090,2.770,0
OPT4_A,Top,0.710,2.420,0
OPT4_B,Top,0.630,2.650,0
OPT5_A,Top,1.040,2.410,0
OPT5_B,Top,1.510,2.700,0
OPT6_A,Top,1.140,2.410,0
OPT6_B,Top,1.180,2.720,0
OPT7_A,Top,1.720,2.160,0
OPT7_B,Top,1.940,2.710,0
OPT8_A,Top,1.820,2.160,0
OPT8_B,Top,1.620,2.820,0
OPT9_A,Top,2.000,2.160,0
OPT9_B,Top,2.430,2.900,0
OPT10_A,Top,2.100,2.160,0
OPT10_B,Top,2.120,2.970,0
OPT11_A,Top,2.320,2.160,0
OPT11_B,Top,2.870,3.090,0
OPT12_A,Top,2.430,2.160,0
OPT12_B,Top,2.550,3.100,0
OPT_PWR,Top,4.230,6.910,0
P1,Bottom,3.140,5.950,180
P2,Bottom,4.992,6.306,180
P3,Top,0.730,5.090,90
P4,Top,0.740,5.560,90
P5_2,Top,8.210,1.040,180
P5_3,Top,8.110,1.040,180
P6-7,Top,3.950,5.570,0
P12-4,Top,3.920,5.880,0
P20,Top,4.210,5.980,0
P64,Top,3.840,5.760,0
P65,Top,3.840,5.660,0
P66,Top,3.850,5.490,0
PA0,Top,0.630,2.850,0
PA1,Top,0.240,2.930,0
PA2,Top,1.090,2.870,0
PA3,Top,0.630,2.950,0
PA4,Top,1.500,2.920,0
PA5,Top,1.180,2.960,0
PA6,Top,1.940,2.930,0
PA7,Top,1.560,3.060,0
PB0,Top,2.410,3.260,0
PB1,Top,2.500,3.200,0
PB8,Top,1.290,4.350,0
PB9,Top,1.240,4.220,0
PC4,Top,2.410,3.130,0
PC5,Top,2.120,3.070,0
PD0,Top,2.840,4.230,0
PD1,Top,1.410,4.480,0
PD8,Top,2.240,3.570,0
PD9,Top,2.340,3.730,0
PD10,Top,2.630,3.740,0
PD15,Top,2.740,4.230,0
PGO1,Top,8.568,9.230,0
PGO3,Top,9.298,9.240,0
PGO5,Top,8.558,8.270,0
PGO7,Top,9.318,8.270,0
PGO9,Top,0.732,8.210,180
PGO11,Top,10.182,7.220,180
PGO13,Top,8.670,7.108,90
PGO15,Top,10.008,9.240,0
PGO17,Top,10.358,1.070,0
PGO19,Top,9.830,1.858,90
S1,Top,5.570,7.840,0
S2,Top,6.210,8.160,0
S3,Top,6.940,8.350,0
S4,Top,7.740,8.320,0
S5,Top,3.580,8.850,0
S6,Top,3.580,8.260,0
S7,Top,3.800,8.550,0
S8,Top,3.370,8.550,0
S9,Top,3.270,7.790,0
S10,Top,4.550,7.930,0
S11,Top,4.700,8.370,0
S12,Top,2.160,9.190,0
SW1,Top,4.390,9.140,0
U$1,Top,6.070,9.130,0
U$2,Top,7.530,9.150,0
U$3,Top,5.150,4.310,0
U$6,Bottom,0.890,1.480,180
U15,Top,1.840,6.100,180
U17,Top,6.490,4.130,90
VREGGND,Top,4.960,4.010,90
VREGIN,Top,4.860,4.010,90
X4,Bottom,3.310,6.980,0
X5,Bottom,3.330,9.183,0
X6,Top,3.890,0.140,0
X7,Top,7.230,4.050,0
X8,Bottom,5.182,8.826,0
X9,Top,5.550,5.020,0
X10,Bottom,4.820,6.880,0
X11,Top,1.100,2.200,0
