Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "electrosteel2020_10_arrange6_synthboardsonlyrev5.brd" as of: 1/15/23 8:56 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C15,Top,1.210,1.730,90
C16,Top,0.930,2.010,270
C20,Top,0.700,1.690,0
C21,Top,1.750,0.650,270
C22,Top,0.330,1.390,180
C23,Top,1.020,1.380,0
C24,Top,0.380,0.600,0
C25,Top,1.760,1.710,270
C26,Top,5.450,1.830,270
C27,Top,5.430,0.710,270
C29,Top,8.200,1.780,270
C30,Top,0.740,1.570,270
C31,Top,8.200,0.670,270
C32,Top,0.790,1.380,0
J2,Top,4.320,1.480,180
L1,Top,0.350,1.540,0
R1,Top,1.760,1.540,270
R2,Top,0.700,1.790,0
R3,Top,0.690,2.030,180
R5,Top,0.550,2.000,90
R6,Top,1.600,0.550,180
R7,Top,1.920,0.550,180
R8,Top,1.750,0.470,270
R9,Top,5.320,1.770,180
R12,Top,5.610,1.770,180
R13,Top,5.460,1.650,270
R14,Top,5.280,0.650,180
R15,Top,5.580,0.640,180
R16,Top,5.430,0.530,270
R17,Top,8.070,1.750,180
R18,Top,8.360,1.750,180
R19,Top,8.200,1.600,270
R20,Top,8.060,0.600,180
R21,Top,8.350,0.600,180
R22,Top,8.200,0.480,270
R23,Top,1.640,1.650,180
R24,Top,2.360,2.150,270
R25,Top,2.260,2.150,270
R27,Top,2.560,1.720,270
R29,Top,3.260,1.720,270
R30,Top,3.360,1.720,270
R31,Top,2.960,1.720,270
R32,Top,2.860,1.720,270
R33,Top,3.060,1.720,270
R34,Top,3.160,1.720,270
R56,Top,1.900,1.650,180
R93,Top,3.160,2.150,90
R94,Top,3.060,2.150,90
R95,Top,2.960,2.150,90
R96,Top,3.360,2.150,90
R97,Top,3.260,2.150,90
U1,Top,0.990,1.670,180
