Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "electrosteel2020_10_arrange6.brd" as of: 1/3/21 5:08 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.650,3.290,180
C2,Top,1.180,3.860,90
C3,Top,2.150,3.310,0
C4,Top,1.360,4.340,90
C5,Top,2.600,4.060,90
C6,Top,1.848,3.325,180
C7,Top,2.190,4.140,270
C8,Top,1.650,3.330,180
C9,Top,1.220,3.850,90
C10,Top,1.395,3.331,180
C11,Top,2.250,3.890,270
C12,Top,2.260,3.670,270
C13,Top,1.860,3.280,180
C14,Top,1.400,3.290,180
C15,Top,4.240,7.040,270
C16,Top,4.300,7.040,270
C17,Top,1.080,3.830,180
C18,Top,1.110,3.630,0
C19,Top,2.030,3.240,270
C20,Top,1.890,4.330,0
C21,Top,4.590,7.020,0
C22,Top,4.590,7.070,0
C23,Top,0.260,2.420,270
C24,Top,0.290,2.510,180
C25,Top,0.450,2.600,90
C26,Top,0.500,2.400,180
C27,Top,0.510,2.260,270
C28,Top,0.470,3.230,180
C29,Top,0.360,3.210,90
C30,Top,0.340,3.010,270
C31,Top,0.220,3.580,270
C32,Top,0.220,3.450,270
C33,Top,0.600,2.520,270
C34,Top,0.820,2.620,270
C35,Top,0.990,2.520,0
C36,Top,1.050,2.670,90
C37,Top,0.790,2.410,180
C38,Top,0.790,3.020,180
C39,Top,1.040,3.120,90
C40,Top,0.710,2.940,270
C41,Top,0.880,2.600,270
C42,Top,0.870,3.000,270
C43,Top,0.410,3.630,0
C44,Top,0.450,3.390,180
C45,Top,0.400,2.600,270
C46,Top,0.390,3.000,270
C47,Top,4.310,4.440,90
C48,Top,4.510,4.080,0
C49,Top,5.200,4.420,180
C50,Top,5.320,4.420,180
C51,Top,4.350,4.440,90
C52,Top,4.510,4.120,0
C53,Top,5.300,4.380,180
C54,Top,5.210,4.380,180
C55,Top,1.660,4.342,0
C56,Top,4.080,4.190,0
C57,Top,4.100,3.760,180
C58,Top,4.100,4.130,0
C59,Top,4.100,3.820,180
C60,Top,1.120,2.540,180
C61,Top,1.280,2.610,270
C62,Top,1.300,2.510,0
C63,Top,2.250,4.160,270
C64,Top,1.180,3.560,180
C65,Top,1.159,3.510,180
C66,Top,2.200,3.890,270
C67,Top,2.201,3.673,270
C68,Top,1.830,4.290,0
C69,Top,1.631,4.290,0
C70,Top,1.510,2.590,90
C71,Top,1.140,2.480,180
C72,Top,1.460,2.410,180
C73,Top,1.290,3.030,90
C74,Top,1.250,3.210,180
C75,Top,1.640,2.450,270
C76,Top,1.630,2.580,270
C77,Top,1.830,2.580,270
C78,Top,2.010,2.690,90
C79,Top,1.830,2.390,270
C80,Top,1.980,2.390,180
C81,Top,1.687,3.172,0
C82,Top,1.630,3.060,270
C83,Top,1.990,2.290,270
C84,Top,2.220,2.450,270
C85,Top,2.370,2.600,270
C86,Top,2.420,2.670,90
C87,Top,2.120,2.260,180
C88,Top,2.240,2.260,180
C89,Top,2.020,3.050,90
C90,Top,2.100,2.850,0
C91,Top,2.440,2.320,270
C92,Top,2.540,2.430,180
C93,Top,2.770,2.520,180
C94,Top,2.860,2.680,90
C95,Top,2.520,2.310,270
C96,Top,2.600,2.280,90
C97,Top,2.590,2.890,270
C98,Top,2.650,3.160,90
C99,Top,1.340,2.610,270
C100,Top,1.340,3.030,270
C101,Top,1.780,2.610,270
C102,Top,1.770,3.030,270
C103,Top,2.270,2.620,270
C104,Top,2.270,3.020,270
C105,Top,2.730,2.610,270
C106,Top,2.730,3.020,270
C107,Top,0.630,4.070,270
C108,Top,0.720,4.060,270
C109,Top,0.820,4.060,270
C110,Top,0.400,3.810,90
C111,Top,0.310,3.810,90
C112,Top,0.190,3.810,90
C113,Top,0.460,3.818,90
C114,Top,0.660,4.400,90
C115,Top,0.770,4.400,90
C116,Top,0.520,3.820,90
C117,Top,6.660,4.240,270
C118,Top,6.660,4.040,90
C119,Top,6.610,4.240,270
C120,Top,6.611,4.042,90
C121,Top,4.880,4.380,0
C122,Top,4.880,4.420,0
C123,Top,4.860,7.020,0
C124,Top,9.070,0.540,180
C125,Top,9.100,0.450,180
C126,Top,8.900,0.450,0
C127,Top,1.780,6.200,0
C128,Top,1.928,5.347,180
C129,Top,1.550,6.190,90
C130,Top,1.948,5.277,180
C131,Top,8.540,0.890,180
C132,Top,9.470,0.880,0
C133,Top,9.363,0.653,0
C134,Top,2.288,5.357,180
C135,Top,2.258,5.257,180
C136,Top,4.820,5.630,0
C137,Top,4.890,5.710,0
C138,Top,4.820,5.500,0
C139,Top,4.420,6.020,90
C140,Top,4.460,4.990,270
C141,Top,4.680,5.240,0
C142,Top,4.340,5.990,90
C143,Top,4.040,5.890,180
C144,Top,4.690,5.890,90
C145,Top,4.030,5.240,180
C146,Top,4.360,5.140,270
C147,Top,8.428,8.770,270
C148,Top,8.639,1.241,180
C149,Top,8.650,0.670,180
C150,Top,9.360,1.260,0
C151,Top,8.540,1.000,180
C152,Top,8.230,0.540,270
C153,Top,8.320,0.540,270
C154,Top,9.439,0.978,0
C155,Top,9.430,1.080,0
C156,Top,6.780,0.850,270
C157,Top,7.430,0.830,0
C158,Top,3.720,4.020,0
C159,Top,8.758,8.770,270
C160,Top,6.900,0.830,270
C161,Top,7.430,0.920,0
C162,Top,1.100,1.090,0
C163,Top,8.540,0.790,180
C164,Top,1.060,0.970,270
C165,Top,5.550,5.400,0
C166,Top,3.290,6.600,180
C167,Top,1.630,1.190,270
C168,Top,0.270,1.170,180
C169,Top,5.550,5.320,0
C170,Top,4.690,6.010,0
C172,Top,9.158,8.780,270
C173,Top,9.488,8.780,270
C174,Top,9.650,3.090,270
C175,Top,9.980,3.100,90
C176,Top,8.418,7.810,270
C177,Top,8.748,7.810,270
C178,Top,9.840,3.270,270
C179,Top,9.690,2.950,0
C180,Top,9.178,7.810,270
C181,Top,9.508,7.810,270
C182,Top,4.330,6.860,270
C184,Top,0.872,8.670,90
C185,Top,0.542,8.550,90
C188,Top,10.322,7.680,90
C189,Top,9.972,7.570,90
C192,Top,9.130,6.968,0
C193,Top,9.020,7.298,0
C196,Top,9.868,8.780,270
C197,Top,10.198,8.780,270
C200,Top,10.218,0.610,270
C201,Top,10.558,0.730,270
C204,Top,10.290,1.718,0
C205,Top,10.170,2.048,0
D2,Top,1.780,6.430,180
D3,Top,0.850,3.730,270
IC1,Top,0.860,2.810,0
IC2,Top,9.860,3.110,180
IC3,Top,1.710,3.810,0
IC4,Top,0.410,3.520,0
IC7,Top,1.340,2.820,0
IC8,Top,1.770,2.820,0
IC9,Top,2.270,2.820,0
IC10,Top,2.730,2.820,0
IC11,Top,0.580,3.850,90
IC12,Top,0.420,4.080,90
IC13,Top,1.948,5.577,0
IC14,Top,2.368,5.577,0
IC15,Top,1.420,1.230,90
IC16,Top,4.090,3.970,180
IC17,Top,0.400,2.800,0
IC18,Top,8.020,0.580,90
IC20,Top,7.390,0.620,180
LED1,Top,1.060,4.260,270
LED2,Top,1.530,4.460,90
LED3,Top,9.080,1.350,270
LED4,Top,3.900,5.100,90
LED5,Top,3.270,8.030,90
LED6,Top,4.830,7.940,0
LED7,Top,4.980,8.370,0
LED8,Top,5.570,8.120,90
