Reference,Qty,Value,PARTNO,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,Description,note
"A1,A2,A3,A4,A5,A6,A7,A8,A9,A10",10,,4840-6000-CP,,,,IC socket 40pos 15.24mm row spacing,https://multimedia.3m.com/mws/media/218496O/3mtm-dip-socket-4800-series-ts1099.pdf,CONN IC DIP SOCKET 40POS TIN,
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14",14,.1uf,CL05B104KP5VPNC,,,,Capacitor_SMD:C_0402_1005Metric,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5458/CL05B104KP5VPNC_Spec.pdf,Unpolarized capacitor,
C15,1,22u,EEE-HP1E220P,,,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1157.pdf,CAP ALUM unpolarized 22UF 20% 25V SMD,
C16,1,10000pf Y2,B32021A3103M000,,,,Capacitor_THT:C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,https://www.tdk-electronics.tdk.com/inf/20/20/db/fc_2009/Y2_B32021_026.pdf,"capacitor, US symbol",
"C17,C18,C20",3,4.7uf,TMK316BJ475KD-T,,,,electrosteel2020_10_arrange7_synthboardsonlyrev6:C1206K,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=TMK316BJ475KL-T%20%20&u=M,4.7 µF ±10% 25V Ceramic Capacitor X5R 1206 (3216 Metric),
"C22,C23,C24,C32",4,10uf,TMK316BJ106KL-T,,,,electrosteel2020_10_arrange7_synthboardsonlyrev6:C1206K,https://www.yuden.co.jp/productdata/catalog/mlcc02_e.pdf,10 µF ±10% 25V Ceramic Capacitor X5R 1206 (3216 Metric),
J1,1,,,DNP,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,
J2,1,,105162-0001,,,,electrosteel2020_10_arrange7_synthboardsonlyrev6:105162-0001,https://gct.co/Files/Drawings/MEM2075.pdf?v=4291865a-7ba2-4207-9cff-647d033647f6,"9 (8 + 1) Position Card Connector Secure Digital - microSDª Surface Mount, Right Angle Gold",
"J3,J5",2,Conn_02x08_Counter_Clockwise,D2516-6002-AR,,,,Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6758/19_D2534-6002-AR.pdf,"Connector Header Through Hole 16 position 0.100"" (2.54mm)",
"J4,J6,J7",3,,,DNP,,,Connector:NS-Tech_Grove_1x04_P2mm_Vertical,,,
L1,1,2.2uH,SRP2010-2R2M,,,,electrosteel2020_10_arrange7_synthboardsonlyrev6:BOURNS_SRP2010,https://www.bourns.com/docs/Product-Datasheets/SRP2010.pdf,"2.2 µH Shielded Drum Core, Wirewound Inductor 1.7 A 150mOhm Max 0806 (2016 Metric)",
L2,1,10uH,MLZ2012N100LT000,,,,805,https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz2012_en.pdf,10 µH Shielded Multilayer Inductor 500 mA 300mOhm 0805 (2012 Metric),
PS1,1,,EC4SAW-24D15HN,,,,8-SIP,https://www.cincon.com/productdownload/Datasheet-EC4SAWH-series.pdf,DC/DC Converter,
"R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12",11,10k,RC0402JR-0710KL,,,,Resistor_SMD:R_0402_1005Metric,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,"10 kOhms ±5% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",
R3,1,560R,RC0402JR-07560RL,,,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,"560 Ohms ±5% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",
R13,1,100R,RC0402JR-07100RL,,,,Resistor_SMD:R_0402_1005Metric,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,"100 Ohms ±5% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",
R14,1,1M,RG3216P-1004-B-T1,,,,Resistor_SMD:R_1206_3216Metric,https://www.susumu.co.jp/dl/?filename=n_catalog_partition01_en.pdf&type=application/pdf,"1 MOhms ±0.1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Anti-Sulfur, Automotive AEC-Q200 Thin Film",
"R16,R17,R18,R19,R20,R21,R22,R23,R26,R27,R28,R35,R36,R37,R38,R39,R40,R41,R42,R43",20,0R,RC0603JR-070RL,,,,Resistor_SMD:R_0603_1608Metric,https://www.bourns.com/docs/product-datasheets/cr-a-as.pdf,"0 Ohms Jumper Chip Resistor 0201 (0603 Metric) Anti-Sulfur, Automotive AEC-Q200, Moisture Resistant Thick Film",CORRECTED!
"R24,R25",2,2K,RC0402JR-072KL,,,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,RES 2K OHM 5% 1/16W 0402,
"R15,R29,R30,R31,R32,R33,R34,R44",8,47R,RC0402JR-0747RL,,,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,"47 Ohms ±5% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",
"R93,R94,R95,R96,R97",5,47k,RC0402JR-0747KL,,,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,RES 47K OHM 5% 1/16W 0402,
"RV1,RV2",2,50k,3266Y-1-503RLF,,,,Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical,https://www.bourns.com/docs/Product-Datasheets/3266.pdf,"50 kOhms 0.25W, 1/4W PC Pins Through Hole Trimmer Potentiometer Cermet 12.0 Turn Top Adjustment",
SW1,1,,B3F-1025,,,,UltraLibrarian:B3F-1025,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3f.pdf,SWITCH TACTILE SPST-NO 0.05A 24V,
